TP1	21	171	21	32	32	171
TP212	259	409	259	264	264	409
TP706	800	950	800	841	841	950
TP1030	1064	1214	1064	1125	1125	1214
TP1400	1528	1678	1528	1579	1579	1678
TP1818	1925	2075	1925	1979	1979	2075
TP2190	2200	2350	2200	2229	2229	2350
TP2547	2563	2713	2563	2578	2578	2713
TP2984	3059	3209	3059	3088	3088	3209
TP3248	3368	3518	3368	3398	3398	3518
TP3570	3604	3754	3604	3656	3656	3754
TP3801	3904	4054	3904	3936	3936	4054
TP4197	4272	4422	4272	4297	4297	4422
TP4499	4503	4653	4503	4557	4557	4653
TP4717	4859	5009	4859	4926	4926	5009
TP5194	5340	5490	5340	5406	5406	5490
TP5561	5684	5834	5684	5705	5705	5834
TP6004	6085	6235	6085	6158	6158	6235
TP6422	6448	6598	6448	6508	6508	6598
TP6641	6746	6896	6746	6788	6788	6896
TP7026	7061	7211	7061	7104	7104	7211
TP7362	7411	7561	7411	7415	7415	7561
TP7825	7864	8014	7864	7933	7933	8014
TP8022	8123	8273	8123	8157	8157	8273
TP8256	8291	8441	8291	8335	8335	8441
TP8629	8755	8905	8755	8778	8778	8905
TP9016	9115	9265	9115	9152	9152	9265
TP9343	9450	9600	9450	9518	9518	9600
TP9531	9545	9695	9545	9585	9585	9695
TP9927	10072	10222	10072	10095	10095	10222
TP10119	10120	10270	10120	10146	10146	10270
TP10496	10592	10742	10592	10623	10623	10742
TP10650	10770	10920	10770	10843	10843	10920
TP10824	10857	11007	10857	10927	10927	11007
TP11189	11213	11363	11213	11250	11250	11363
TP11583	11601	11751	11601	11644	11644	11751
TP11738	11804	11954	11804	11850	11850	11954
TP11944	12071	12221	12071	12111	12111	12221
TP12311	12383	12533	12383	12440	12440	12533
TP12710	12821	12971	12821	12834	12834	12971
TP13065	13083	13233	13083	13136	13136	13233
TP13411	13414	13564	13414	13461	13461	13564
TP13773	13850	14000	13850	13850	13850	14000
TP14016	14110	14260	14110	14176	14176	14260
TP14465	14605	14755	14605	14645	14645	14755
TP14808	14811	14961	14811	14813	14813	14961
TP15102	15227	15377	15227	15269	15269	15377
TP15342	15366	15516	15366	15430	15430	15516
TP15749	15836	15986	15836	15909	15909	15986
TP16205	16253	16403	16253	16328	16328	16403
TP16425	16491	16641	16491	16557	16557	16641
TP16884	16932	17082	16932	16947	16947	17082
TP17174	17186	17336	17186	17247	17247	17336
TP17333	17482	17632	17482	17494	17494	17632
TP17633	17714	17864	17714	17784	17784	17864
TP17936	17949	18099	17949	17993	17993	18099
TP18152	18259	18409	18259	18318	18318	18409
TP18649	18750	18900	18750	18762	18762	18900
TP19025	19146	19296	19146	19192	19192	19296
TP19452	19586	19736	19586	19602	19602	19736
TP19735	19745	19895	19745	19760	19760	19895
TP20231	20262	20412	20262	20271	20271	20412
TP20626	20751	20901	20751	20804	20804	20901
TP21093	21203	21353	21203	21246	21246	21353
TP21566	21573	21723	21573	21609	21609	21723
TP21718	21736	21886	21736	21779	21779	21886
